nucleus, energy[keV], readout, event detection eff. =  helium 43 gem 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 45 gem 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 47 gem 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 49 gem 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 1 str 0.15299999713897705
nucleus, energy[keV], readout, event detection eff. =  helium 3 str 0.9950000047683716
nucleus, energy[keV], readout, event detection eff. =  helium 5 str 0.9990000128746033
nucleus, energy[keV], readout, event detection eff. =  helium 7 str 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 9 str 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 11 str 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 13 str 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 15 str 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 17 str 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 19 str 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 21 str 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 23 str 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 25 str 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 27 str 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 29 str 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 31 str 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 33 str 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 35 str 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 37 str 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 39 str 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 41 str 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 43 str 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 45 str 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 47 str 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 49 str 1.0
nucleus, energy[keV], readout, event detection eff. =  helium 1 opt 0.0
nucleus, energy[keV], readout, event detection eff. =  helium 3 opt 0.0
nucleus, energy[keV], readout, event detection eff. =  helium 5 opt 0.006000000052154064
nucleus, energy[keV], readout, event detection eff. =  helium 7 opt 0.041999999433755875
nucleus, energy[keV], readout, event detection eff. =  helium 9 opt 0.08399999886751175
