nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 5 3d_noquant_after_drift 52.371809730682536 0.502
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 5 3d_noquant_before_drift 21.222616833898723 0.42
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 6 gem_after_threshold 57.6163159180603 0.48512820512820515
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 6 wir_after_threshold 56.43080101699681 0.4824824824824825
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 6 pad_after_threshold 57.94262095899939 0.5105105105105106
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 6 opt_after_threshold 61.96417288099288 0.5483870967741935
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 6 str_after_threshold 54.412316690798946 0.5065065065065065
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 6 pix_after_threshold 50.68444254904954 0.4824824824824825
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 6 3d_noquant_after_drift 49.252299810493376 0.498
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 6 3d_noquant_before_drift 27.247009531024098 0.801
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 7 gem_after_threshold 57.10558216685075 0.4969818913480885
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 7 wir_after_threshold 56.259492584699935 0.502
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 7 pad_after_threshold 55.770040576890594 0.491
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 7 opt_after_threshold 55.332540110082356 0.5952380952380952
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 7 str_after_threshold 53.28836070573445 0.507
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 7 pix_after_threshold 47.48692906436629 0.529
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 7 3d_noquant_after_drift 47.07434117319571 0.54
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 7 3d_noquant_before_drift 27.249501501323973 0.8
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 8 gem_after_threshold 57.172776490049635 0.49298597194388777
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 8 wir_after_threshold 57.38346563105561 0.4694694694694695
